keyword,counterparty,product_type,match_type
360 Cash Loans; LazerMoney; 30/12 Financier,360 Cash Loans,personal_loan,keyword
FINANCIER,360 Cash Loans,personal_loan,keyword
A1 Cars Finance; A1 CARS,A1 Cars Finance,car_loan,keyword
Kill Bills Cash Loans; KILLBILLSCASHLOA; KILL BILLS CASH LOANS,Action Cash Loans,personal_loan,keyword
Advance Cash Loans; ADVANCE CASH LOA,Advance Cash Loans,personal_loan,keyword
Advantedge; ADVANTEDGE,Advantedge,home_loan,keyword
Affordable Car Loans,Affordable Car Loans,car_loan,keyword
KWIK FINANCE,Affordable Car Loans,car_loan,keyword
AFG Loans,AFG Loans,home_loan,keyword
Afterpay; Afterpay: Shop Smarter,Afterpay,bnpl,keyword
AHA Money; AHA MONEY,AHA Money,personal_loan,keyword
Albany Finance,Albany Finance,personal_loan,keyword
Allied Credit; ALLIED CREDIT,Allied Credit,car_loan,keyword
Allied Retail Finance,Allied Retail Finance,car_loan,keyword
MOTORCYCLE FINANCE; AUTOME FINANCE; WEEKEND TOY FINANC; AMO AMO,Allied Retail Finance,car_loan,keyword
Amanzica; AMANZICA,Amanzica,personal_loan,keyword
Angle Finance,Angle Finance,car_loan,keyword
ANGLE AUTO FINANCE; ANGLE AUTO FINAN,Angle Finance,car_loan,keyword
Aotea Finance,Aotea Finance,personal_loan,keyword
APS Loans,APS Loans,personal_loan,keyword
APSBS,APS Loans,personal_loan,keyword
Astute Motor Finance; ASTUTEMOTORFINAN,Astute Motor Finance,car_loan,keyword
Athena Home Loan,Athena Home Loan,home_loan,keyword
ATM Loans; ATM LOANS,ATM Loans,personal_loan,keyword
Audi Finance; AUDI FINANCE,Audi Finance,car_loan,keyword
Australian Motorcycle and Marine Finance; AUSTRALIAN MOTORCYCL; AMMF,Australian Motorcycle and Marine Finance,car_loan,keyword
Auto Finance Loans; Auto Finance Loan; AUTO FINANCE LOANS,Auto Finance Loans,car_loan,keyword
Automotive Financial Services,Automotive Financial Services,car_loan,keyword
AUTO FINANCIAL SRVCS,Automotive Financial Services,car_loan,keyword
Autopay,Autopay,car_loan,keyword
Avanti Finance,Avanti Finance,personal_loan,keyword
BC Invest; BC INVEST,BC Invest,home_loan,keyword
Beforepay; Beforepay: Borrow up to 2000; BeforepayCT,Beforepay,wage_advance,keyword
BEFORE PAY; PAYMENTS@BEFOR; CHEQ PTY LTD; BEFOREPAY PAY ADVANCE,Beforepay,wage_advance,keyword
Bluestone; BLUESTONE MORTGAGES; BLUESTONE GROUP,Bluestone Australia,home_loan,keyword
BMW Finance; BMW AUST FINANCE; BMW AUST FIN,BMW Finance,car_loan,keyword
Branded Financial,Branded Financial,car_loan,keyword
BRANDED FINANCIA; BRANDED FINANCE SERVICES,Branded Financial,car_loan,keyword
Brighte,Brighte,bnpl,keyword
Bundll; BUNDLL,Bundll,bnpl,keyword
Captain Cash; CAPTAIN CASH,Captain Cash,personal_loan,keyword
CarCoop,CarCoop,car_loan,keyword
CAR COOP,CarCoop,car_loan,keyword
Cars On Terms; CARS ON TERMS,Cars On Terms,car_loan,keyword
Cash and Go Lenders; CASH AND GO LENDERS; CASH & GO LENDERS,Cash and Go Lenders,personal_loan,keyword
Cash Australia; CASHAUSTRALIAINT,Cash Australia,personal_loan,keyword
Cash Bridge; Sunbow Finance; CB Loan,Cash Bridge,personal_loan,keyword
Cash Converters; Cash Converters My Loans,Cash Converters,personal_loan,keyword
CCPF PL,Cash Converters,personal_loan,keyword
Cash Direct,Cash Direct,personal_loan,keyword
CD ADVANCE,Cash Direct,personal_loan,keyword
Cash Doctors,Cash Doctors,personal_loan,keyword
Cash First; CASHFIRST,Cash First,personal_loan,keyword
Cash Guys; CASH GUYS,Cash Guys,personal_loan,keyword
Cash N Go; cashngo,Cash N Go,personal_loan,keyword
CASHN GO; VENTURE 5 GROUP,Cash N Go,personal_loan,keyword
Cash Now,Cash Now,personal_loan,keyword
SNP INTERNATIONAL,Cash Now,personal_loan,keyword
Cash Place,Cash Place,personal_loan,keyword
Cash Savvy,Cash Savvy,personal_loan,keyword
CASHSAVVY.NET.AU,Cash Savvy,personal_loan,keyword
Cash Smart; CASH SMART,Cash Smart,personal_loan,keyword
Cash Stop,Cash Stop,personal_loan,keyword
CASHSTOP,Cash Stop,personal_loan,keyword
Cash Train,Cash Train,personal_loan,keyword
EZI*CASHTRAIN; CASHTRAINBRANCH,Cash Train,personal_loan,keyword
Cashee; CASHEE,Cashee Loans,personal_loan,keyword
CashFaster; CashFasterLoan; Cash Faster,CashFaster,personal_loan,keyword
PAYFASTER; FASTER FINANCIAL,CashFaster,personal_loan,keyword
CashPal,CashPal,personal_loan,keyword
SIMPLE FINANCE GROUP,CashPal,personal_loan,keyword
CBA StepPay; StepPay Repayment; STEPPAY PYMT-THANK YOU,CBA StepPay,bnpl,keyword
STEPPAY; STEPPAY REFUND; STEPPAY ACT REFUND,CBA StepPay,bnpl,keyword
Champion Loans; CHAMPION MONEY; CHAMPIONMONEY,Champion Loans,personal_loan,keyword
COOKIEDEA PTY LT,Champion Loans,personal_loan,keyword
Cigno Loans; Cigno Austalia,Cigno Loans,personal_loan,keyword
CIGNO AUSTRALIA,Cigno Loans,personal_loan,keyword
Citibank Loans; Citi,Citibank Loans,personal_loan,keyword
READY CREDIT; REWRITE READY CR; REWRITE CARDS,Citibank Loans,personal_loan,keyword
City Finance,City Finance,personal_loan,keyword
SPAREN PTY LTD,City Finance,personal_loan,keyword
ClearLoans; CLEARLOA,ClearLoans,personal_loan,keyword
Coastline Finance; COASTLINE FINANC,Coastline Finance,personal_loan,keyword
Coles Loan; COLES LOAN,Coles Loan,personal_loan,keyword
